suite,baseline,sambal
number_orc,47.37,68.42
number_prep,63.16,84.21
number_src,68.42,57.89
reflexive_orc_fem,15.79,0.00
reflexive_orc_masc,31.58,0.00
reflexive_prep_fem,5.26,0.00
reflexive_prep_masc,57.89,5.26
reflexive_src_fem,26.32,0.00
reflexive_src_masc,68.42,0.00
npi_orc_any,86.84,89.47
npi_orc_ever,94.74,94.74
npi_src_any,65.79,84.21
npi_src_ever,100.00,97.37
fgd_hierarchy,20.83,10.42
fgd_object,66.67,79.17
fgd_pp,37.50,54.17
fgd_subject,37.50,45.83
center_embed,85.71,64.29
center_embed_mod,75.00,57.14
cleft,97.50,100.00
cleft_modifier,97.50,95.00
subordination,100.00,95.65
subordination_orc-orc,100.00,100.00
subordination_pp-pp,100.00,95.65
subordination_src-src,95.65,95.65
