expression	source_url
a good look	https://en.wiktionary.org/wiki/a_good_look
all it's cracked up to be	https://en.wiktionary.org/wiki/all_it's_cracked_up_to_be
all that	https://en.wiktionary.org/wiki/all_that
alone	https://en.wiktionary.org/wiki/alone
any	https://en.wiktionary.org/wiki/any
any longer	https://en.wiktionary.org/wiki/any_longer
any more	https://en.wiktionary.org/wiki/any_more
anymore	https://en.wiktionary.org/wiki/anymore
anywhere near	https://en.wiktionary.org/wiki/anywhere_near
arsed	https://en.wiktionary.org/wiki/arsed
at all	https://en.wiktionary.org/wiki/at_all
backward in coming forward	https://en.wiktionary.org/wiki/backward_in_coming_forward
bat an eye	https://en.wiktionary.org/wiki/bat_an_eye
bat an eyelid	https://en.wiktionary.org/wiki/bat_an_eyelid
be born yesterday	https://en.wiktionary.org/wiki/be_born_yesterday
be bothered	https://en.wiktionary.org/wiki/be_bothered
be worried	https://en.wiktionary.org/wiki/be_worried
bean	https://en.wiktionary.org/wiki/bean
beans	https://en.wiktionary.org/wiki/beans
believe one's ears	https://en.wiktionary.org/wiki/believe_one's_ears
believe one's eyes	https://en.wiktionary.org/wiki/believe_one's_eyes
believe one's own eyes	https://en.wiktionary.org/wiki/believe_one's_own_eyes
best pleased	https://en.wiktionary.org/wiki/best_pleased
biggy	https://en.wiktionary.org/wiki/biggy
bite	https://en.wiktionary.org/wiki/bite
bite the hand that feeds one	https://en.wiktionary.org/wiki/bite_the_hand_that_feeds_one
blind	https://en.wiktionary.org/wiki/blind
blind bit	https://en.wiktionary.org/wiki/blind_bit
blow someone's skirt up	https://en.wiktionary.org/wiki/blow_someone's_skirt_up
brain surgeon	https://en.wiktionary.org/wiki/brain_surgeon
brain surgery	https://en.wiktionary.org/wiki/brain_surgery
break a sweat	https://en.wiktionary.org/wiki/break_a_sweat
breathe a word	https://en.wiktionary.org/wiki/breathe_a_word
bring oneself to	https://en.wiktionary.org/wiki/bring_oneself_to
brook	https://en.wiktionary.org/wiki/brook
budge an inch	https://en.wiktionary.org/wiki/budge_an_inch
by any means	https://en.wiktionary.org/wiki/by_any_means
by any stretch of the imagination	https://en.wiktionary.org/wiki/by_any_stretch_of_the_imagination
by halves	https://en.wiktionary.org/wiki/by_halves
can't be bothered	https://en.wiktionary.org/wiki/can't_be_bothered
can't be fucked	https://en.wiktionary.org/wiki/can't_be_fucked
can't carry a tune in a bucket	https://en.wiktionary.org/wiki/can't_carry_a_tune_in_a_bucket
can't get enough	https://en.wiktionary.org/wiki/can't_get_enough
can't help	https://en.wiktionary.org/wiki/can't_help
can't seem	https://en.wiktionary.org/wiki/can't_seem
can't stand	https://en.wiktionary.org/wiki/can't_stand
can't stand the sight of	https://en.wiktionary.org/wiki/can't_stand_the_sight_of
can't wait	https://en.wiktionary.org/wiki/can't_wait
cannot away with	https://en.wiktionary.org/wiki/cannot_away_with
cannot but	https://en.wiktionary.org/wiki/cannot_but
cannot help but	https://en.wiktionary.org/wiki/cannot_help_but
care	https://en.wiktionary.org/wiki/care
care a button	https://en.wiktionary.org/wiki/care_a_button
care for	https://en.wiktionary.org/wiki/care_for
carry a tune	https://en.wiktionary.org/wiki/carry_a_tune
CCE	https://en.wiktionary.org/wiki/CCE
change horses in midstream	https://en.wiktionary.org/wiki/change_horses_in_midstream
clever	https://en.wiktionary.org/wiki/clever
cold in one's grave	https://en.wiktionary.org/wiki/cold_in_one's_grave
come up and bite	https://en.wiktionary.org/wiki/come_up_and_bite
could not care less	https://en.wiktionary.org/wiki/could_not_care_less
could not get elected dogcatcher	https://en.wiktionary.org/wiki/could_not_get_elected_dogcatcher
couldn't be more different	https://en.wiktionary.org/wiki/couldn't_be_more_different
couldn't care less	https://en.wiktionary.org/wiki/couldn't_care_less
couldn't carry a note in a bucket	https://en.wiktionary.org/wiki/couldn't_carry_a_note_in_a_bucket
couldn't happen to a nicer	https://en.wiktionary.org/wiki/couldn't_happen_to_a_nicer
couldn't organise a piss-up in a brewery	https://en.wiktionary.org/wiki/couldn't_organise_a_piss-up_in_a_brewery
couldn't stop a pig in a passage	https://en.wiktionary.org/wiki/couldn't_stop_a_pig_in_a_passage
cover oneself in glory	https://en.wiktionary.org/wiki/cover_oneself_in_glory
crack up	https://en.wiktionary.org/wiki/crack_up
cricket	https://en.wiktionary.org/wiki/cricket
cry over spilt milk	https://en.wiktionary.org/wiki/cry_over_spilt_milk
cut ice	https://en.wiktionary.org/wiki/cut_ice
cut it	https://en.wiktionary.org/wiki/cut_it
cut out	https://en.wiktionary.org/wiki/cut_out
cut the mustard	https://en.wiktionary.org/wiki/cut_the_mustard
damn	https://en.wiktionary.org/wiki/damn
day at the beach	https://en.wiktionary.org/wiki/day_at_the_beach
disarray	https://en.wiktionary.org/wiki/disarray
do by halves	https://en.wiktionary.org/wiki/do_by_halves
do not pass go, do not collect $200	https://en.wiktionary.org/wiki/do_not_pass_go,_do_not_collect_$200
do not pass go, do not collect £200	https://en.wiktionary.org/wiki/do_not_pass_go,_do_not_collect_£200
dog in the fight	https://en.wiktionary.org/wiki/dog_in_the_fight
don't ask, don't tell	https://en.wiktionary.org/wiki/don't_ask,_don't_tell
don't be a stranger	https://en.wiktionary.org/wiki/don't_be_a_stranger
don't call us, we'll call you	https://en.wiktionary.org/wiki/don't_call_us,_we'll_call_you
don't do anything I wouldn't do	https://en.wiktionary.org/wiki/don't_do_anything_I_wouldn't_do
don't get above your raising	https://en.wiktionary.org/wiki/don't_get_above_your_raising
don't get me wrong	https://en.wiktionary.org/wiki/don't_get_me_wrong
don't get someone started	https://en.wiktionary.org/wiki/don't_get_someone_started
don't get your meat where you get your bread	https://en.wiktionary.org/wiki/don't_get_your_meat_where_you_get_your_bread
don't go there	https://en.wiktionary.org/wiki/don't_go_there
don't let the bedbugs bite	https://en.wiktionary.org/wiki/don't_let_the_bedbugs_bite
don't let the door hit you on the way out	https://en.wiktionary.org/wiki/don't_let_the_door_hit_you_on_the_way_out
don't look a gift horse in the mouth	https://en.wiktionary.org/wiki/don't_look_a_gift_horse_in_the_mouth
don't shit where you eat	https://en.wiktionary.org/wiki/don't_shit_where_you_eat
draw a sober breath	https://en.wiktionary.org/wiki/draw_a_sober_breath
dry eye	https://en.wiktionary.org/wiki/dry_eye
enough sense to pound sand into a rathole	https://en.wiktionary.org/wiki/enough_sense_to_pound_sand_into_a_rathole
ever	none
exact science	https://en.wiktionary.org/wiki/exact_science
fazed	https://en.wiktionary.org/wiki/fazed
fellow	https://en.wiktionary.org/wiki/fellow
for beans	https://en.wiktionary.org/wiki/for_beans
for lack of trying	https://en.wiktionary.org/wiki/for_lack_of_trying
for one's life	https://en.wiktionary.org/wiki/for_one's_life
for sour apples	https://en.wiktionary.org/wiki/for_sour_apples
for the life of one	https://en.wiktionary.org/wiki/for_the_life_of_one
for toffee	https://en.wiktionary.org/wiki/for_toffee
fuck	https://en.wiktionary.org/wiki/fuck
fussed	https://en.wiktionary.org/wiki/fussed
gaf	https://en.wiktionary.org/wiki/gaf
get a word in	https://en.wiktionary.org/wiki/get_a_word_in
get a word in edgewise	https://en.wiktionary.org/wiki/get_a_word_in_edgewise
get one's head around	https://en.wiktionary.org/wiki/get_one's_head_around
get the memo	https://en.wiktionary.org/wiki/get_the_memo
getting any	https://en.wiktionary.org/wiki/getting_any
getting enough	https://en.wiktionary.org/wiki/getting_enough
give a crap	https://en.wiktionary.org/wiki/give_a_crap
give a damn	https://en.wiktionary.org/wiki/give_a_damn
give a darn	https://en.wiktionary.org/wiki/give_a_darn
give a fig	https://en.wiktionary.org/wiki/give_a_fig
give a flying fuck	https://en.wiktionary.org/wiki/give_a_flying_fuck
give a fuck	https://en.wiktionary.org/wiki/give_a_fuck
give a light	https://en.wiktionary.org/wiki/give_a_light
give a rat's arse	https://en.wiktionary.org/wiki/give_a_rat's_arse
give a shit	https://en.wiktionary.org/wiki/give_a_shit
give a stuff	https://en.wiktionary.org/wiki/give_a_stuff
give a tinker's cuss	https://en.wiktionary.org/wiki/give_a_tinker's_cuss
give a tinker's damn	https://en.wiktionary.org/wiki/give_a_tinker's_damn
give a toss	https://en.wiktionary.org/wiki/give_a_toss
give two hoots	https://en.wiktionary.org/wiki/give_two_hoots
give two shits	https://en.wiktionary.org/wiki/give_two_shits
go astray	https://en.wiktionary.org/wiki/go_astray
goddamn	https://en.wiktionary.org/wiki/goddamn
hand	https://en.wiktionary.org/wiki/hand
happy bunny	https://en.wiktionary.org/wiki/happy_bunny
have a clue	https://en.wiktionary.org/wiki/have_a_clue
have a cow	https://en.wiktionary.org/wiki/have_a_cow
have it	https://en.wiktionary.org/wiki/have_it
have no idea	https://en.wiktionary.org/wiki/have_no_idea
have no time for	https://en.wiktionary.org/wiki/have_no_time_for
have shit on	https://en.wiktionary.org/wiki/have_shit_on
have the first idea	https://en.wiktionary.org/wiki/have_the_first_idea
have the foggiest	https://en.wiktionary.org/wiki/have_the_foggiest
have the heart	https://en.wiktionary.org/wiki/have_the_heart
have truck with	https://en.wiktionary.org/wiki/have_truck_with
having it	https://en.wiktionary.org/wiki/having_it
hear of	https://en.wiktionary.org/wiki/hear_of
hear the end of it	https://en.wiktionary.org/wiki/hear_the_end_of_it
hide nor hair	https://en.wiktionary.org/wiki/hide_nor_hair
hill of beans	https://en.wiktionary.org/wiki/hill_of_beans
hold a candle	https://en.wiktionary.org/wiki/hold_a_candle
hold one's breath	https://en.wiktionary.org/wiki/hold_one's_breath
hold with	https://en.wiktionary.org/wiki/hold_with
hooter	https://en.wiktionary.org/wiki/hooter
hurt a fly	https://en.wiktionary.org/wiki/hurt_a_fly
ifs, ands, or buts	https://en.wiktionary.org/wiki/ifs,_ands,_or_buts
in any way, shape, or form	https://en.wiktionary.org/wiki/in_any_way,_shape,_or_form
in no small measure	https://en.wiktionary.org/wiki/in_no_small_measure
in no small part	https://en.wiktionary.org/wiki/in_no_small_part
in no uncertain terms	https://en.wiktionary.org/wiki/in_no_uncertain_terms
in someone's vocabulary	https://en.wiktionary.org/wiki/in_someone's_vocabulary
in the least	https://en.wiktionary.org/wiki/in_the_least
iota	https://en.wiktionary.org/wiki/iota
jack shit	https://en.wiktionary.org/wiki/jack_shit
jot	https://en.wiktionary.org/wiki/jot
just yet	https://en.wiktionary.org/wiki/just_yet
kelter	https://en.wiktionary.org/wiki/kelter
kick someone out of bed	https://en.wiktionary.org/wiki/kick_someone_out_of_bed
kilter	https://en.wiktionary.org/wiki/kilter
know A from B	https://en.wiktionary.org/wiki/know_A_from_B
know B from a battledore	https://en.wiktionary.org/wiki/know_B_from_a_battledore
know beans about	https://en.wiktionary.org/wiki/know_beans_about
know from a bar of soap	https://en.wiktionary.org/wiki/know_from_a_bar_of_soap
know one's arse from one's elbow	https://en.wiktionary.org/wiki/know_one's_arse_from_one's_elbow
know one's ass from a hole in the ground	https://en.wiktionary.org/wiki/know_one's_ass_from_a_hole_in_the_ground
know one's ass from one's elbow	https://en.wiktionary.org/wiki/know_one's_ass_from_one's_elbow
know shit from Shinola	https://en.wiktionary.org/wiki/know_shit_from_Shinola
know someone from a can of paint	https://en.wiktionary.org/wiki/know_someone_from_a_can_of_paint
know someone from Adam	https://en.wiktionary.org/wiki/know_someone_from_Adam
know someone from Eve	https://en.wiktionary.org/wiki/know_someone_from_Eve
know whether one is Arthur or Martha	https://en.wiktionary.org/wiki/know_whether_one_is_Arthur_or_Martha
know which end is up	https://en.wiktionary.org/wiki/know_which_end_is_up
lay a glove on	https://en.wiktionary.org/wiki/lay_a_glove_on
league	https://en.wiktionary.org/wiki/league
leave to chance	https://en.wiktionary.org/wiki/leave_to_chance
let alone	https://en.wiktionary.org/wiki/let_alone
lick	https://en.wiktionary.org/wiki/lick
lift a finger	https://en.wiktionary.org/wiki/lift_a_finger
like	https://en.wiktionary.org/wiki/like
live down	https://en.wiktionary.org/wiki/live_down
look past the end of one's nose	https://en.wiktionary.org/wiki/look_past_the_end_of_one's_nose
look past the tip of one's nose	https://en.wiktionary.org/wiki/look_past_the_tip_of_one's_nose
lost on	https://en.wiktionary.org/wiki/lost_on
mad	https://en.wiktionary.org/wiki/mad
make a habit of	https://en.wiktionary.org/wiki/make_a_habit_of
make head or tail of	https://en.wiktionary.org/wiki/make_head_or_tail_of
make no bones about	https://en.wiktionary.org/wiki/make_no_bones_about
make old bones	https://en.wiktionary.org/wiki/make_old_bones
make sense	https://en.wiktionary.org/wiki/make_sense
meddle and make	https://en.wiktionary.org/wiki/meddle_and_make
mince words	https://en.wiktionary.org/wiki/mince_words
never look a gift horse in the mouth	https://en.wiktionary.org/wiki/never_look_a_gift_horse_in_the_mouth
never the twain shall meet	https://en.wiktionary.org/wiki/never_the_twain_shall_meet
never the wiser	https://en.wiktionary.org/wiki/never_the_wiser
no brainer	https://en.wiktionary.org/wiki/no_brainer
no chill	https://en.wiktionary.org/wiki/no_chill
no contact, no contract	https://en.wiktionary.org/wiki/no_contact,_no_contract
no doubt	https://en.wiktionary.org/wiki/no_doubt
no flies on	https://en.wiktionary.org/wiki/no_flies_on
no fuss, no muss	https://en.wiktionary.org/wiki/no_fuss,_no_muss
no great shakes	https://en.wiktionary.org/wiki/no_great_shakes
no guts, no glory	https://en.wiktionary.org/wiki/no_guts,_no_glory
no harm, no foul	https://en.wiktionary.org/wiki/no_harm,_no_foul
no holds barred	https://en.wiktionary.org/wiki/no_holds_barred
no horse in that race	https://en.wiktionary.org/wiki/no_horse_in_that_race
no horse in this race	https://en.wiktionary.org/wiki/no_horse_in_this_race
